,Keratinocyte_Cornified,Keratinocyte_Granular,Keratinocyte_Spinous,Keratinocyte_Basal,Melanocyte,Fibroblast_Papillary,Fibroblast_Reticular,Endothelial,Pericyte,Sebocyte,Sweat_Eccrine,Sweat_Apocrine,Hair,Hair_Unused,Adipocyte,Langerhans,Macrophage,T_Cell,Mast_Cell,Sensory_Corpuscle
Gene 0,6.555434563589597,2.830998159812485,1.150255700221278,0.5604485158632095,0.09224779345011902,1.2718996676342273,0.0025624446837221185,0.0,0.0054047721274021795,0.14230576573297188,0.17270803819786823,0.538410726526653,1.23959259732154,0.0,0.03822148031847173,1.3862247597983457,0.004812875446864101,0.035536022991122684,0.0,0.14310223143039
Gene 1,2.7286198033101323,2.133444809653251,0.9919401319188783,0.15383270644609326,0.16217391401099618,0.06473784497217952,0.37043293892688706,0.9371222492513319,0.03185254463361751,0.013764776382056603,0.5964317771356491,0.026972502577813074,0.37290834779294674,0.09143070422824595,0.049575679697673854,0.03427901018559233,0.0002399683088190702,0.0561597704025787,0.0030088006672677227,0.46844202230371723
Gene 2,3.0257548310214197,1.017101245012548,0.0007122949004829042,1.9092553899485605,0.44916306103175757,0.509750082623268,0.0008726134137793559,0.0,0.4091515838234348,0.6064486431334452,2.0364360410850577,0.0019815744327372413,0.002141677557347464,0.7410023398924809,0.1599005839725955,1.6281282242346546,0.5985395698274122,0.7565887282999383,0.0012143173656131124,0.2451487827537821
Gene 3,6.296335795094093,0.20240273725971072,0.0020147040885196295,0.03710705100693507,0.0003738578722840805,0.19805114528600704,0.00018985846487139992,0.3541327021425339,0.08264373578466472,1.8166704996166099,0.001960392193545901,0.03218153277204777,0.014755859678652497,0.003981837951130264,0.0015777912249999725,0.23804649841837552,0.8910368268332797,1.0158782415459096,0.00014678030338484088,4.2343586886869
Gene 4,2.4651964374363975,0.6790126716422503,0.9653515715261677,0.032620052968277094,0.0015404013313242257,1.3281816541990044,2.393582125175033,1.5665434823345055,0.42252306305996384,0.0011715519946312331,0.10595374825403296,0.017265721622849842,0.0009599741215598754,1.2131375842422147,0.43649242336234184,0.06598328374691671,1.0172863606645175,0.06783776033263109,1.372929775746219,0.051487894889718444
Gene 5,6.542395685311707,0.04205755114440811,0.10923036494836848,0.008202135052276946,0.4044665854230289,0.7107115454498766,0.00021936917360487702,0.3393566801400326,0.10120382190804468,0.16849395328506026,0.0,3.468223168212385,0.48546040625270753,0.010153392893003124,0.01747075867766681,2.3587249551072214,0.0004463626314203388,2.1261232881179493,0.1846891127654077,1.4001742035395024
Gene 6,4.482790906863034,0.0005109756716450218,0.28135891045172684,0.09425205233151014,0.007836401730191078,0.01053456420706838,2.253740998782867,0.5739461839723743,2.5559278361855067,0.873962915489249,0.004544693866366886,0.32983298113287834,0.00031507259804499195,0.8631313334043729,0.0008001276301354611,2.2751547455629137,1.5116252767350375,0.12831668397320045,0.22598482637673434,0.002240373162881761
Gene 7,5.315922020195076,0.7123419801767796,1.2134143026414972,0.0,0.13508544953422574,0.12453267863459287,0.0006441431601896488,0.00014602398118329516,0.24164311199219185,1.0748226461019015,0.2931247754823788,1.3309743438535675,0.14294306591005168,0.026087114554939703,0.00044608818929027966,1.2009141417940514,0.054392964141939934,0.896691016719886,0.21749692904039022,0.17411836987918997
Gene 8,0.14347052129097038,2.5138110617410097,0.005611992721907164,0.0,0.017835827219117088,2.337922143728834,0.6164674833954266,1.8745654057667567,0.0067326704771152645,0.09243836332769662,0.0,1.9220686920549737,0.206100679892669,0.1531862388904464,0.09386388387652954,0.45015823618363054,1.6314015441920235,0.013697202391379781,0.8472630282311515,0.7172339582470207
Gene 9,0.8707066639960283,4.71169189699808,1.0145189725092114,0.002276418714192063,9.254548086130747e-05,0.04222768751813246,0.22051424759452992,0.233198910254857,0.0017397172170771332,0.0004926981582311124,0.2347018046380271,0.017037922899296228,0.12607559149958852,0.0023452187665548253,0.0,3.649761877823071,0.12250110638396665,0.01136881242064787,0.11663301429465112,0.017825713454179853
Gene 10,0.09708781642194451,4.227621711627279,0.18526513971642117,0.009190600321999158,0.03496549551779209,0.0011974442278711499,0.6436009445676897,0.03191013983169669,0.07834475831159604,0.021209933888486885,0.44825008589246684,0.0007855108020276832,0.28499210153543864,0.370538192123451,0.0012297064405050156,0.33120945690926873,4.131371578926894,1.7947679315026732,0.14925862373755497,0.11418910946596005
Gene 11,0.015619214133839885,3.7346260437952887,0.11776234387612504,0.05868991998091753,1.9586645576162487,0.6789346930425016,0.0026294197121681973,2.020300551813721,0.5777492157672967,0.09555959191996213,0.21190078847121618,0.004407180353184219,1.00401379354401,0.9492707732830123,1.0977906095503018,0.05245539721096453,0.18565284941503613,0.057871896463616,0.011925844533323047,0.0008157917635985316
Gene 12,0.13769971265518288,2.696325691483316,0.015517563696378493,0.7612786415621381,0.0014833846493661484,0.045362004593456705,0.6547202652704582,0.05870570212027095,0.03882088199955748,0.0021369207355506838,0.0006863293203967181,0.8956209284524203,0.004785344095429082,0.0004807011618646802,2.207960916479499,0.07998890128978335,1.4728538791277848,0.0,0.8766705065424744,0.2847951791889902
Gene 13,0.11499393962877799,4.248454266288033,0.008127665598593898,2.724641468936146,1.7256507746585095,0.011079087521618227,0.22004938042537578,0.0,0.1358273423196044,0.015448697852222333,0.07681473288985019,1.7550844292279566,1.7389857246439686,0.0002880338214580422,0.0,0.0,1.3312866396445464,0.07104606753851675,0.7760905325124837,0.21578124211176386
Gene 14,0.056078737955155736,4.481914755810947,0.0,0.7319685577535576,0.0386566027631445,0.00014485113241722862,0.006404878280865688,0.0008499239178743443,0.0037480149859398263,1.4241274010252005,0.013019383844757659,2.187252519749718,0.010096365442967855,0.5640845551955177,0.0065992591672529135,2.2934239419124447,0.0011125186455658437,0.13119141823820119,0.00012077160559979023,0.00048467032053863245
Gene 15,1.9285203951647085,4.025801060888815,0.001143692449582786,0.0,0.0,0.039841230840210774,0.0,0.012140288905677785,0.0009604561766630759,0.0001088027375158437,0.0,0.01350961728112233,1.5370041564625612,1.0383807333389332,0.7206154358610359,0.4257810179168775,0.10405822127450633,1.0463906029960313,0.7274297620261464,0.001328253257834546
Gene 16,0.05137537523207092,4.757858762965644,0.23017739415628635,0.0735565115937652,0.0250471598633703,0.15210213731983283,1.1290930038860476,0.07444737047085184,0.09625346522652954,2.7182066775167764,0.08808753530809561,0.13558204625344414,0.005540972574502898,0.54142302050056,0.039582718850836994,1.9487750957234753,0.039494925061334486,0.0002513220090345557,0.37470468488010644,0.027676066101650357
Gene 17,0.0534265807405203,0.00026433604886522653,5.118861107694838,0.6815979404285829,1.2496468823466453,1.5704378200717815,0.08726296579523755,0.5340255856559085,0.11540345681465795,0.0,0.4997438455648294,0.0011310566899671354,1.9607960907798483,0.025502616709701175,0.3028507884188912,1.4175834924141328,0.7375987102073169,1.1293746478739126,0.005390905501989178,0.9761715497989772
Gene 18,0.0012634096549354796,0.9696585701929733,2.437770831476692,0.0007518598568996137,0.09185621156583432,0.005332691803505115,0.8611917371080565,0.5200279984716935,0.452362189096472,0.2691976151674138,0.00032628208255886687,0.002033135870367454,0.3184944584388152,0.9076600408070731,0.5657637233948712,0.006959162938661793,0.007051266019469524,1.5621499797664178,2.4262595733365435,0.00045751612895246854
Gene 19,0.048741378556249375,0.025703570090659576,4.302525331616552,0.8977771619347127,8.95488224175179e-05,0.014800803791826581,0.5270226459467504,0.0,0.8318725076267401,0.0,0.00010062120933972157,2.36826330219592,0.0,0.0047358880202052105,0.62706810554057,1.3968292487871932,0.046497714899462826,0.21378691426873145,0.00021094652749017225,0.001269828954257326
Gene 20,0.40677305142141296,0.09089860010319703,7.232958957880109,0.6103869117252652,0.0033635251981301677,0.48920186956683437,0.00022279812894337195,0.3773898258705453,0.7576820813989051,0.03254384432911761,0.6053633504381177,0.0,0.008566833841494174,0.00016112656847289182,2.88206311128178,0.5211761414862732,0.010880153211296649,0.2001569923508452,3.2661302319774195,0.007603676410641204
Gene 21,0.01568925380405117,1.8110141194321225,3.2049355573886973,0.16368645630123732,0.6216323117171675,1.7394980366437884,0.022113078553487642,2.6443166397662137,1.8949275700017911,0.05095217393311093,0.00038224820750338,0.005324187111642013,0.3191347696037522,0.10632231345360478,0.0025124467107706604,0.025384997652160974,0.03585515801518863,0.6442017133006062,0.2689902392980945,0.006833903244123988
Gene 22,0.0002991227259718422,0.008569677716072406,3.8915434213383606,0.3391072666500752,0.3115492770783405,0.5634574481159426,0.02182087909747337,0.0701241698155604,2.046995783075297,0.00012200377211862834,0.006308749361811106,0.003964155988125763,0.3457545992257189,0.004166120128979547,0.19500013980331707,0.586971610376343,3.7672642367881455,0.5637015826616617,1.5817129039952849,0.2705310539273598
Gene 23,0.3566194701430059,0.04141995902426901,0.0012355295098883609,4.621533851306574,0.47737962010030677,0.0005263096230378317,0.0,0.0012009502083420638,0.034369824101148,0.0,1.0853706860016368,0.00460338092842206,2.6012054090632506,1.1626431098384962,0.31433573668675785,0.5728664451407356,1.3050799374800317,0.7784872359430789,2.0062750750928764,0.05312429336850327
Gene 24,2.0771594217683176,0.016743282427568472,1.5987101600470437,2.7666767072136698,1.0088873256150381,1.116618174069559,0.09859988768117499,0.1661531045776909,0.6223819593279643,0.04433341464811038,1.5743035509466035,2.2954143330944823,0.007570985946681061,0.002068632503367772,0.006059272345995164,0.15321589266862995,0.017974231776979696,0.013951298525380492,0.0022113910196035003,0.0
Gene 25,0.002316817781216208,0.08300998403030248,0.4614380172346602,2.0597644740526824,1.5773798856326458,0.024162548802054942,0.0,0.001337503832511183,0.07254732679209473,0.0005154354579589027,0.032636191822585,0.6849556228999794,1.7848299638203744,0.7853697779729946,1.557933402777549,0.0,0.10842098396041075,0.08134682271712255,0.0,0.013728842260646095
Gene 26,0.0,0.00010951598722723912,0.2529351610644421,5.102660633453646,0.016145390790259742,0.11572405656561494,2.135536455281874,0.0,1.745800897745083,0.6059582860227998,0.3809759051780809,0.00013388670600330036,1.0722195732695563,0.012774572606119885,0.00034297823628265096,0.24416790124737658,2.1232689215380933,0.0,0.25270276214246973,0.006274259446769174
Gene 27,0.29772770516154445,0.0,0.0,9.394296890937717,0.024564168017714424,3.5938307850929463,0.0032077459061985504,0.12837145578787956,0.9351204460302688,0.23838581869065764,0.15141360411729968,1.1299353467861928,0.046362358475290306,0.8410145749182417,0.042207719304175044,0.020184067684597216,0.9511983493019166,0.26824935447987486,0.02033534888433984,0.0061371937619097
Gene 28,0.3017923562543275,2.2093120220757805,0.9714690150043889,3.0113997960460206,1.3915692383558294,0.0,0.3467050935696382,0.0,0.008802432596649768,0.0,1.0911736566131676,0.00875741598621249,0.7451582197216197,0.09191524717989856,0.0,1.1532930202243301,0.00014845540704464517,0.005550001745003905,0.0,0.0655317491328016
Gene 29,0.6242905973998133,0.0015106024025861211,0.46926874312921835,4.713243721387843,1.0607917765957757,0.0,0.0,0.4864707067627539,0.00010406258802795174,0.242323481672577,0.03246918098404184,0.037796990533375624,2.3797983246656678,1.4851748475193696,0.0002102600160663864,0.12032341016413557,0.45159380425330503,0.008314386292329964,0.0061028055418124085,0.15542529989323325
Gene 30,0.08664811784634915,0.010796457313613441,0.15988972377519414,0.2517315047127193,4.071112756257683,0.40133726401765907,0.37199120749994735,0.3775457955516274,0.4528893159888617,2.5904794194006002,0.33808908513999136,1.9702658172013408,0.000317009581048928,0.10354556525037972,0.12142786264808599,1.1129850631065683,1.1493617021629192,0.00044214226373186585,1.228838795339433,0.007964650558793963
Gene 31,0.0008825310578649294,0.006662664872402675,0.2775806435472057,1.524276517415931,2.5862693664838634,0.0170731531015201,0.5084754160853504,0.6505725141194403,0.7732023816509809,0.00980890103856866,0.4843262037068476,1.382928350225576,0.09880902442135978,0.36968255073738043,0.0,0.0,0.001178983074505931,0.40403232168101577,0.012542704417724622,0.6687405871300195
Gene 32,0.0034243575814285085,0.00029461167597212253,0.1940625132940378,0.000251586188733688,3.054018539224506,0.352491014215338,1.1306750638237317,0.03302136668616394,1.1234435657223958,0.005793716170054987,0.0,0.0008404012202931248,0.16652207147569875,0.3500753498774308,2.1859729948222064,0.03794664483767849,0.0016566588302300645,0.17420387187916633,0.04898236444073698,1.9693927678950265
