,Epithelial_Crypt,Epithelial_Surface,Stromal,Immune,Endothelial,Muscle
Gene 0,1.6556457267647078,0.5355160328521253,0.24108863477375714,0.41374699338400817,0.07346109769130241,0.013318404285380229
Gene 1,3.2099342422868027,0.1278737793728424,0.012440021479397418,0.0016438345776905415,0.1566857367888563,0.4619943659609181
Gene 2,2.955607344010656,0.37087210254148306,0.3045173704112764,0.006502683057306288,0.030200905150491755,0.8150234555580723
Gene 3,1.2155808834199513,0.023279125777944987,0.5110105280785507,0.0,0.9598661717664528,0.1823204667846504
Gene 4,2.752587709374404,0.60881352999104,0.8139074991471533,0.036801906895290774,0.0020400833615352785,0.08363048172853736
Gene 5,2.0786496606881526,0.0708592583021889,0.0,1.8848180419682181,0.008118208895568123,0.0
Gene 6,1.5858370212057593,0.11697303521723412,1.5385211270856123,0.0025844913361492403,0.3278914983543201,0.3235616514450992
Gene 7,2.0947070591790924,0.022003532817221932,0.023280967872003847,0.44230344849615777,0.2954135100373715,0.24325200176660314
Gene 8,0.7529594309975146,2.219075205280045,0.0032747218991648784,0.9955546509269891,0.12729768477322215,0.17903759725521018
Gene 9,1.1840563005470528,1.3980216837422454,0.002028264608911026,0.0012954132698285803,0.0813465565010338,0.0229136028469015
Gene 10,0.08915987941233049,2.6015930140667027,0.9190281401219244,0.5351416717381395,0.018938342010479094,0.008742701971752656
Gene 11,1.009954906365658,1.3704241159903783,0.837933910144565,0.020769940658543668,0.24857192697898578,0.3506023079049157
Gene 12,0.09219355178082914,1.7985437518884544,0.7893919540398665,0.0,0.5001318713647144,0.31413264354201237
Gene 13,0.3885370498783615,1.3575860042412742,1.0143401780856658,1.2952290672257838,0.0,0.0
Gene 14,0.5035810278624685,2.7013577016164168,0.0,0.0665545342410122,0.0,0.8656130195814911
Gene 15,0.5481674722602823,1.7906190603702012,0.0797866138139175,1.0509490422102392,0.3100258036997217,0.8750837782319799
Gene 16,0.37201230691395154,3.327698460108601,0.8499615844354684,0.0,0.8460609050957977,0.01927777795733759
Gene 17,0.6890737258085621,0.21919905343763887,1.7938102963909095,0.20679417025720262,1.1571327781347012,0.014214359187987071
Gene 18,0.1934808222698038,0.0,1.4572487172509903,0.5096277547417835,1.324793010164363,0.1753959112861292
Gene 19,0.0,0.24249450140337572,2.79016750116609,0.4186837596365777,0.004957237786048149,0.747345899900295
Gene 20,0.917666249704953,0.024911976905111505,1.4555701794836435,0.8959438059377806,0.924229352890679,0.06838790032295175
Gene 21,0.5309869800663388,0.06296844645662415,1.0952387939097727,0.4112360489043555,0.0,0.7336629977787221
Gene 22,0.1149361984187293,1.304768222376689,1.6730089340723935,0.026848201809836617,0.17458074131464782,0.1370352131322853
Gene 23,0.11479721047266961,0.7874303094905606,1.47825524941412,0.09161586488351472,0.06401425001547785,0.47282492587442954
Gene 24,0.0647140298112996,0.022112841764631106,4.133476598944391,0.46147817752462433,0.15832992951233854,0.0
Gene 25,0.007707046838844446,0.004864668562758417,1.1943998985768987,0.9924523722521933,0.0,0.0
Gene 26,0.0,0.14905462379846215,0.32036165528459987,2.383722068857419,0.0005643602738612554,1.0172450412634904
Gene 27,0.005145918934850015,0.01022206260735095,0.6254775701515828,1.0490536501789005,0.0006773101252830272,0.04183573469806567
Gene 28,0.6429816650619563,0.004343660182175642,0.0,4.358670553350197,0.056439410225670644,0.0015844078289385325
Gene 29,0.03241056627234377,1.4135209357735075,0.018355852872894093,2.584439617065521,0.07605500374030846,0.6131720334077688
Gene 30,0.0,0.04212496792600112,0.0,5.592496415689661,0.0,0.0005537168424908657
Gene 31,0.7920355704060034,0.9436007767636523,0.12071340978914641,1.2093330903403676,0.06676981592526532,1.1018687678255394
Gene 32,0.0030729624976286478,0.06392194334954023,0.02972041239609939,0.08447778735036619,2.1780487469165455,0.15762712500667317
Gene 33,0.007820408576068496,1.4797119899133027,0.14960581228933795,0.520497855028507,2.1878380960503527,0.9970218416337336
Gene 34,0.9798438491896341,0.004384869496642089,0.4268994952180359,0.45021189691128205,1.0840622779134483,0.0
Gene 35,0.31292701595284234,0.01527316897544979,1.0151127503149735,0.05000593999428546,1.4517399633791206,0.015618102781288345
Gene 36,0.14054419335335877,0.11577720873322626,0.0024166303405760534,0.03434187220878312,1.8456351365290888,0.886525031660073
Gene 37,0.0008423692781143708,0.7732616943940639,0.0,0.21572846579676133,3.607131205567434,0.027547015874009522
Gene 38,0.28791808578757777,0.0,0.6867315022727815,0.003595099115786796,2.227917915038507,0.05564215748471171
Gene 39,0.001389674113053864,0.007448155439487599,0.7340529223555936,1.5421975207396157,2.456774778826817,0.7376561020461886
Gene 40,0.001675100536194431,1.3349378852946001,0.05047083141053888,0.17644279392369153,1.6182653359896422,0.984113964278753
Gene 41,0.3432126584224339,0.04163034804159126,0.9202286645114254,0.07647852172948613,1.1239732543428111,0.11667742117517452
Gene 42,0.17379286219876716,0.595685792169554,0.004650154839448851,0.24947695176575754,1.963778410874789,0.09417112967484939
Gene 43,0.9513492012058267,0.03350859317361472,0.10912857271577224,0.12281244381700518,0.5139498317498224,2.049890790193743
Gene 44,0.06701084368477246,0.08750300320935765,0.12296401779055523,0.026824620878612985,0.4616223593999752,2.1758151807594666
Gene 45,1.6884936619316533,0.026841824644485986,0.5179227559107256,0.03188310551113151,1.1377430885943887,1.8426497470711762
Gene 46,0.19648003923779161,0.0004960257313234268,0.1326101945571742,0.3044130252333416,0.02543208479648148,4.044191693405287
Gene 47,0.8511782364595805,1.5161321543595359,0.0034736697832609743,0.013804407696788446,0.352620729181241,1.6540011125620337
Gene 48,0.2963125357676445,0.22142281181947512,0.0004707371134458363,0.002104554654632352,0.27775425078925353,1.9301335581343602
Gene 49,0.2075680020396326,0.1927792557474086,0.03144997472217703,0.1380136174084508,0.06850403695649486,2.4310326655449344
