,Epithelial_Crypt,Epithelial_Surface,Stromal,Immune,Endothelial,Muscle
Gene 0,1.3601107292602501,0.0,0.0028860283106865747,1.2197968278061309,0.9457581254640985,1.2440565533758436
Gene 1,1.9233973615543212,0.217396495931143,0.12088203316142775,0.6439145242741565,0.8493895658310087,0.23419439450643623
Gene 2,1.9870832986042832,0.0,0.8781749607368352,0.5419863319612233,0.8167560514625568,0.19220413268345815
Gene 3,0.9500068568018426,0.0009057386680203994,0.5780809027584352,0.5931999768450321,0.2319795509727447,0.8216806901828246
Gene 4,2.7438396161061656,0.14644858861491775,0.0,0.030659394910868054,1.508099469091953,0.010438888362043892
Gene 5,1.9970325311398287,0.7238811853023017,0.07329814599314063,0.010611947412110764,0.0,0.0
Gene 6,2.323826564684822,0.48912440046426187,0.00038015374596946143,0.6038951836532309,0.6462673602453064,0.03700627875155184
Gene 7,1.6050543604379959,2.368166483944339,0.0005746370836970207,0.9933562658310086,0.0,0.1379170105099151
Gene 8,0.10338041016018565,2.6270392477285673,0.001313716860367203,0.003250641213328462,0.5925271966667965,0.015801820600222533
Gene 9,0.2351139298745534,2.0590891466381493,0.006173658658794629,0.4513242007462105,0.8005190128229891,0.031085081932011187
Gene 10,0.7870890930981971,1.4642946035591988,0.003002290597077347,0.004643014147337013,0.13143746929178124,0.46750347147673355
Gene 11,0.0004720499407037119,1.7183671644044312,0.0,0.9785440951011534,0.10568997920817441,0.0
Gene 12,0.2068363991429971,2.373984722806792,0.04948857315892066,0.06945907693285928,0.0003996530082697814,0.4784687500753336
Gene 13,0.03191183804646988,1.2412630041399004,0.0005868542214339806,0.08767073352986844,0.029608380382710346,0.8844936464286324
Gene 14,0.01627762100625908,2.165212390879797,0.013760714585904459,0.6070208853556176,0.02072966920384848,0.0
Gene 15,0.11695740209748846,2.187744853238915,1.2671150327817418,0.04813263009387059,0.005891377399859396,0.21251070639175682
Gene 16,0.09980519501213288,0.8969815101932926,0.2571990288524743,0.0,0.10124383068565578,0.8389932732758445
Gene 17,0.8925457351501097,0.003264958357531805,1.572596515928871,0.00345419011767902,0.026234587948249784,1.5564277052003412
Gene 18,0.4560131494604939,0.2065234773655195,3.303226714889736,0.6180745388138453,0.18039578023455427,0.0
Gene 19,0.0705709492973535,0.47045437251312877,2.699033791426325,0.9426106524707074,0.31196688208752915,0.1114265767424045
Gene 20,0.06101121177089028,1.0332762037247054,1.7138938371400239,0.0,0.0152776299328029,0.13993878034298723
Gene 21,0.9534096215400221,0.0793169844966374,2.3736259162026028,0.5351042142024752,0.11083960026449373,0.09242047452576503
Gene 22,0.0,0.011126352190199584,1.521432565561038,0.2541711092606747,0.9744245824620862,0.3404705814985076
Gene 23,0.2247090643029765,0.20504476101278163,3.4032746693952434,0.00035974929874567525,0.0048436180871964775,0.01106212328112273
Gene 24,0.16275378598478535,0.413284722208572,3.561277938248563,0.003348983320719157,0.19027106667150542,0.5832630409693832
Gene 25,0.003699151768984161,0.0536387908341988,0.0027891021493615426,2.7282613053782967,2.4509009093267973,0.006085495150053831
Gene 26,0.007187860245888998,1.14799401144036,0.0,1.4284805487871726,0.21483793187309333,0.015917985017052057
Gene 27,0.28892818861724096,0.0008899028333108187,0.10706347470685411,2.7777849579379525,0.7821902558320135,0.0
Gene 28,0.11757566837980792,0.08801902203858757,0.4061860521800282,2.7403976116847044,0.023868779563368765,0.18919162425143668
Gene 29,0.24306899657702763,0.0004340392204429554,0.6780392310462138,1.068879427443612,0.9596688507292023,0.009897875203782436
Gene 30,0.26557024188274186,0.00580950050388503,0.0,2.220056526657726,0.08220952742406552,0.010190803800399963
Gene 31,0.023130556482758954,0.378967454976892,1.6502671100366497,2.075917385800229,0.68558788590799,0.25474855009222863
Gene 32,0.5751598402915609,0.1486189356726871,0.0030308313844991624,1.0874193118907947,0.6084991541448824,0.06443358055423523
Gene 33,0.007926874631132539,1.359245451714313,0.037699427932814944,0.06740258083550361,1.6731748503112769,0.7102853357724769
Gene 34,0.09818576450102907,0.06526659748009084,0.0004230315394427835,0.00039252857621070535,3.0912915812095028,0.71177917434652
Gene 35,1.2388412627747818,0.04386304895511949,1.4689107640470545,0.0008862119646967737,1.8755940014296348,0.3005581423870612
Gene 36,0.7959362018261811,0.23548773457050995,0.5090389708884686,0.7366738077440119,0.9591320726232628,0.0002710522217164546
Gene 37,0.18062445363827956,0.021428709705839325,0.36241389258298995,0.761567031897323,0.8774423630103814,0.0
Gene 38,0.0,0.3905882780525971,0.0020786195894517507,0.0788027802694563,2.159934574234126,0.07600374068308925
Gene 39,0.3312535491833035,0.6353166447079492,0.12188789821038146,0.0,1.4764424878020324,0.29893060460613446
Gene 40,0.0,0.011629752450234027,0.018672769820402467,1.0333701235061379,0.46892972453639525,1.5835493222552253
Gene 41,0.5827106531124288,0.04374226700867905,0.17754058306940174,0.02318089647738758,0.0105635401637463,2.196268022198327
Gene 42,0.4280417568400865,0.6458108113813057,0.9278681285352334,0.039304859815788976,0.0025845936766785275,0.9786775529943486
Gene 43,0.07547869137002959,0.6519627445922945,0.08798811489585796,0.18725613500945124,0.07873877842727336,2.264941530377159
