x,y,gene,cell
519.8354907250866,502.9203977298896,Gene 2,0
519.7970171859038,502.3338554878873,Gene 6,0
520.8197596161419,499.6662245770086,Gene 6,0
521.8866102967473,502.6089762946229,Gene 13,0
520.7180005950115,493.30336012393366,Gene 19,0
519.5359959219749,503.7906968117096,Gene 19,0
522.541462477874,500.38832075954804,Gene 19,0
520.8976167364895,494.8564239676545,Gene 20,0
521.7773865172296,506.4245039315947,Gene 20,0
520.2520083058332,497.91741734446134,Gene 20,0
520.2484780620348,495.8489718115935,Gene 21,0
520.2614999977171,498.40999108853475,Gene 21,0
521.8352531914549,496.8347102447604,Gene 21,0
522.1383262722628,508.25122528910464,Gene 21,0
523.073149636591,498.3386028816547,Gene 21,0
519.5280354337596,500.3216270441582,Gene 21,0
522.4976933103214,496.6477749479001,Gene 21,0
520.3725834000101,496.38587234803015,Gene 23,0
522.9850293753971,496.07643767374833,Gene 23,0
522.7067592554498,503.5818110051304,Gene 23,0
519.6727816944483,497.70271692858967,Gene 23,0
519.9457097831628,496.56660033428665,Gene 23,0
521.8164905338357,493.2783068781029,Gene 24,0
522.9077245149432,498.0880382345439,Gene 24,0
520.9224729046609,498.69356883985563,Gene 24,0
521.5968938574406,509.98187171011494,Gene 24,0
520.769604618947,508.2618945754506,Gene 24,0
522.4515689231561,501.21388537800647,Gene 25,0
521.473020863377,507.7289635106192,Gene 25,0
522.093977042142,500.8270244751588,Gene 25,0
522.8464735514244,502.23501684110147,Gene 25,0
519.7246538988757,497.29736133809774,Gene 25,0
520.7839389217391,505.9443140273518,Gene 25,0
520.5151319824062,508.11922350809726,Gene 25,0
522.1959349039498,495.76147821170645,Gene 25,0
520.9657254965082,501.6744821224916,Gene 25,0
521.6536528626781,503.56131208974546,Gene 27,0
520.1008088047691,495.1714148672589,Gene 40,0
522.0664860168329,500.78464202173325,Gene 40,0
521.8601119928228,496.12136223283625,Gene 43,0
521.949864954603,499.459000782994,Gene 43,0
520.5884066657817,504.95489171708806,Gene 43,0
520.0976984756725,502.5203121229692,Gene 43,0
520.4719359211983,492.68879235998753,Gene 43,0
535.1347115451792,504.58586301031323,Gene 2,1
535.0913542516325,505.3541727692582,Gene 2,1
535.8260578328822,501.3516948000146,Gene 2,1
535.0393321955731,503.96992886829486,Gene 2,1
535.5458743666504,493.78871773502897,Gene 2,1
535.2741395612187,495.1458725531247,Gene 6,1
535.6575163085257,496.3224884357162,Gene 13,1
535.6051786875661,506.9793604603216,Gene 13,1
535.3602171807757,513.1602586659532,Gene 16,1
535.0706073910719,502.688088425433,Gene 16,1
535.0786716895835,502.67181472191623,Gene 19,1
535.0730366892797,509.2214892783853,Gene 20,1
535.115037950478,508.6012287667399,Gene 20,1
535.1241437782489,503.07371840489617,Gene 20,1
535.9007727077625,507.8756004418222,Gene 20,1
535.0528465893816,511.8961366408057,Gene 20,1
535.8616511796332,510.3535306169889,Gene 21,1
535.5165604423185,501.598498703915,Gene 21,1
535.6588370588767,499.43862938272287,Gene 21,1
535.3986658981834,491.9481146772123,Gene 21,1
535.4239027040892,512.7750219704772,Gene 21,1
535.476234635489,510.316354674095,Gene 21,1
535.3778862492956,514.7170321545829,Gene 22,1
534.9895039881314,500.7302521628312,Gene 23,1
535.7173434413653,497.6955412195842,Gene 23,1
535.2118464335773,494.30943688431927,Gene 23,1
535.3734429518738,514.6375444467812,Gene 24,1
535.0039708757123,499.2423864484123,Gene 24,1
535.1947973208277,512.8648079045485,Gene 24,1
535.6871741578377,505.6307153794805,Gene 24,1
535.4977558258612,493.7427355323244,Gene 24,1
535.5882710658406,509.2446067862527,Gene 25,1
535.0851091137207,509.60958517986177,Gene 25,1
534.9825661364961,501.5103171366611,Gene 25,1
534.9819959315894,502.26633623852916,Gene 25,1
535.6171691905018,498.66532106807523,Gene 25,1
535.8079662109677,499.10138740446894,Gene 25,1
535.294312756734,495.42122094988423,Gene 25,1
534.9976568967604,495.83915131496093,Gene 25,1
535.5194594847104,512.5008551713,Gene 27,1
535.6998809276287,500.0486932365912,Gene 27,1
535.0623921362674,502.0405452611798,Gene 31,1
535.8984673663685,505.68292541022566,Gene 40,1
535.7324628193581,510.14912829585,Gene 40,1
535.127183350925,507.27991334634964,Gene 40,1
535.5414483241252,507.558774634031,Gene 43,1
535.7702835261211,500.31715195805714,Gene 43,1
535.8062944410468,496.800967482097,Gene 43,1
535.2667769919016,494.41009501352437,Gene 43,1
535.6232085025628,511.2920227212608,Gene 49,1
553.7540841300156,504.9204500995667,Gene 0,2
549.2757298923734,509.83574091271663,Gene 8,2
552.5737170573857,506.86045147051715,Gene 13,2
551.0965660170735,496.60919360538514,Gene 16,2
551.9181729565174,503.99179510090244,Gene 16,2
546.4575228975533,503.22786096853065,Gene 19,2
551.0121523786273,504.54699483295695,Gene 19,2
552.4773643743014,500.86767257550645,Gene 19,2
549.1502662964731,496.6910744798185,Gene 19,2
548.8155938750878,500.0038483262676,Gene 19,2
551.8867369078378,508.1864330543268,Gene 19,2
552.3352525658095,499.3987120208129,Gene 20,2
549.0350060746858,509.25870299502384,Gene 20,2
550.3854409495601,495.905399563421,Gene 20,2
547.5024836121474,504.6553165877644,Gene 20,2
547.4928692978679,499.3068014420271,Gene 20,2
549.0312012828297,497.6446486990367,Gene 20,2
552.8797316385824,504.9389826091795,Gene 20,2
552.2626902528564,504.6645478734087,Gene 20,2
552.0719010595376,505.7533658625047,Gene 20,2
551.970634244622,509.80577062781805,Gene 21,2
553.7129207448047,502.0239342497674,Gene 21,2
550.9658546072018,499.0441960122781,Gene 21,2
547.2691373599209,498.87975535429064,Gene 21,2
546.4404187432883,505.99242566514124,Gene 21,2
548.3511722530701,498.0643947482525,Gene 21,2
547.2876361735858,500.2353164288835,Gene 21,2
551.2162204546654,499.5596605383825,Gene 21,2
552.9408892566889,505.4912213188086,Gene 21,2
552.8318179679382,504.5012425139284,Gene 21,2
547.5366390416915,509.1131073711369,Gene 22,2
549.9020134564828,507.79080669530225,Gene 22,2
550.0126637924187,496.50056253768753,Gene 22,2
550.8195992227586,495.6679071118463,Gene 23,2
551.0908262117057,508.70017382391615,Gene 23,2
548.7818758965516,508.1636600074059,Gene 23,2
549.1589376451126,496.1635405745332,Gene 23,2
550.498500463483,500.4842965248035,Gene 24,2
550.3978738790252,496.9981796348945,Gene 24,2
547.2798631351224,503.8828039859614,Gene 24,2
547.5260976189933,500.8303989497461,Gene 25,2
546.2349496001191,503.14084660487725,Gene 25,2
552.0822239092316,507.662248842098,Gene 25,2
546.2969450476043,505.4651217547678,Gene 25,2
552.0115013716216,503.3941928557294,Gene 25,2
549.4666565218693,498.5601492984221,Gene 25,2
551.795965703418,509.16226468918063,Gene 25,2
549.054543830294,496.3724376534169,Gene 27,2
546.6703867387424,503.55831662355007,Gene 31,2
550.4559981350382,510.54533856101466,Gene 31,2
552.7492910407769,506.220895956174,Gene 40,2
548.5565153233892,499.0756723335118,Gene 43,2
549.1283842932269,510.094450807746,Gene 43,2
550.0663809159576,507.4895900092421,Gene 43,2
549.5656988037206,506.3096812785286,Gene 43,2
550.2022058631597,508.9429021102766,Gene 47,2
546.397994740255,501.84267917149816,Gene 47,2
547.0770571039097,500.0740292122132,Gene 49,2
552.3057372382566,505.2764229597136,Gene 6,3
552.7844147240058,508.23525603843694,Gene 6,3
552.5315423654295,493.60836527977006,Gene 13,3
553.1582660863745,496.6623500059905,Gene 13,3
552.2837901137781,508.11635254048036,Gene 13,3
555.389719698895,504.0638030827591,Gene 13,3
555.7434709089717,500.39347473497327,Gene 13,3
552.0778317276338,494.8398708459529,Gene 16,3
553.000653865121,498.5402572853894,Gene 19,3
556.2054819793029,502.086314453576,Gene 19,3
551.6201416133413,505.37970668576725,Gene 20,3
555.7316377892126,503.45979002184123,Gene 20,3
553.3962009549406,509.00741807975555,Gene 20,3
551.6286034878242,501.9220655221183,Gene 20,3
554.7802008226249,500.3698803047201,Gene 20,3
551.2182692045111,501.5523819311182,Gene 20,3
553.4281046397846,497.89614511004845,Gene 20,3
551.5381220380452,496.14771019605587,Gene 20,3
551.4865927621888,496.7924280717949,Gene 21,3
553.6333962001038,493.6596617428688,Gene 21,3
555.4015131039629,497.03891938296283,Gene 21,3
553.5526384883399,509.7811841251572,Gene 21,3
556.6067900201465,502.6004476685651,Gene 21,3
555.480940982162,495.09627743777423,Gene 21,3
553.5627981201511,505.697366588306,Gene 21,3
552.05036426737,499.9073531378609,Gene 21,3
555.2606914733815,501.44357199542094,Gene 21,3
