x,y,gene,cell
109.77111842115835,504.9718756615218,Gene 5,0
107.74118669764972,500.5981762015567,Gene 16,0
106.3852082322063,498.912453822105,Gene 19,0
107.40892947514014,498.68915149052594,Gene 19,0
109.93034379598964,495.96406519510026,Gene 26,0
107.78514034130211,504.155746069273,Gene 26,0
108.13197369674046,508.9067070057852,Gene 26,0
107.88933550562125,510.82788229112913,Gene 26,0
106.91600608029748,509.2874957715807,Gene 26,0
110.48523338822555,499.87281063913343,Gene 27,0
108.2130665941681,494.4208232871397,Gene 27,0
108.42968696756823,510.30478834674,Gene 27,0
109.90746547638199,502.7119381126129,Gene 27,0
110.80779279120969,504.7810251000949,Gene 27,0
109.16381595177052,505.5970813812491,Gene 27,0
108.0367686653524,501.92138151680416,Gene 28,0
109.62310564224177,504.5437506076116,Gene 28,0
106.47122382303033,502.9333958373657,Gene 28,0
109.54743207056616,499.28111367761346,Gene 28,0
108.01282723825241,497.0435290622405,Gene 28,0
108.46035962181719,499.5990288329119,Gene 28,0
109.53061394188131,496.4008188705163,Gene 29,0
107.00742879135544,505.40227380396664,Gene 29,0
108.73093257240612,506.48436627106895,Gene 29,0
108.68875006993397,494.82136151756697,Gene 29,0
109.70728714314268,499.3475053429978,Gene 29,0
106.76689662988942,496.15508879929115,Gene 29,0
110.6033719691584,506.81554235007167,Gene 29,0
107.08891181043928,503.7335175876977,Gene 29,0
109.12757951882655,496.01183730423213,Gene 29,0
109.06591577995732,501.0547552599488,Gene 29,0
108.92486129890298,498.60776662496517,Gene 29,0
109.91131549363654,507.3768924734523,Gene 29,0
107.81939934659022,510.9448770591735,Gene 29,0
107.4373388039078,498.25223718415697,Gene 29,0
110.05685903077509,509.09512080434615,Gene 29,0
108.76052212542709,498.7036719661923,Gene 29,0
107.43728664411576,494.47590924460116,Gene 30,0
106.82700698229671,497.55495492296006,Gene 30,0
107.05463987351997,506.98030071893504,Gene 30,0
109.10964433435201,504.19029359783735,Gene 31,0
109.81725336479292,499.2168624776044,Gene 31,0
106.4725475536627,504.7614938431019,Gene 31,0
107.97722560162421,503.29043823197355,Gene 31,0
109.54179813635105,495.8324946991502,Gene 31,0
107.08474923211031,499.21127696233884,Gene 32,0
107.60175525241044,495.50947431824767,Gene 32,0
109.39672187527702,507.6681647493531,Gene 32,0
107.70823185031598,506.6916347861255,Gene 32,0
108.47857286873982,497.3089819063873,Gene 32,0
108.48699987307981,496.8957863823095,Gene 32,0
106.57327353525693,504.41283756828454,Gene 33,0
109.56979601861697,504.3763303303189,Gene 37,0
119.7698563187366,507.60279718101185,Gene 4,1
120.12702741826288,495.8732962989531,Gene 19,1
119.00942054659954,508.8674119712353,Gene 19,1
120.68709062067289,501.5699665837225,Gene 26,1
119.41172086739007,492.02059944336526,Gene 26,1
119.88886270731521,496.82812530465986,Gene 27,1
120.23375666528632,507.8630644320327,Gene 27,1
120.15409507693843,497.83974051583806,Gene 27,1
118.11351536605095,502.36600776112397,Gene 27,1
118.80580688518421,504.52552150683624,Gene 27,1
120.56659224753037,500.6586886009858,Gene 27,1
118.61031539889258,499.16422961308643,Gene 27,1
117.70480931013448,498.640226044467,Gene 27,1
120.54566978440772,494.0129362597131,Gene 27,1
119.87422394108172,494.6426660423781,Gene 28,1
120.19992886546524,504.57756195543084,Gene 28,1
117.52930558506203,499.32296971604063,Gene 28,1
120.21992627447653,498.63681987994744,Gene 28,1
119.99666258420298,498.00814575229487,Gene 29,1
119.51108971408932,507.1215367122807,Gene 29,1
118.22056945893526,509.1815032806384,Gene 29,1
117.51352581401518,502.4014794892882,Gene 29,1
120.87023136149296,497.7968762250746,Gene 29,1
117.98404757398038,506.5852725576929,Gene 29,1
118.6450216183748,492.552259988903,Gene 29,1
118.25493289701117,508.1881248921031,Gene 29,1
120.92662008184521,500.26842407758625,Gene 30,1
120.3705017189171,499.1417483698917,Gene 30,1
117.9786357530929,505.4211813496988,Gene 30,1
117.56823740064479,502.66879695418726,Gene 30,1
120.47885942675065,495.06051884821295,Gene 30,1
118.4162875111416,504.44294205051426,Gene 31,1
117.88919554475616,497.69947804717384,Gene 31,1
118.10284632867743,493.9012395077328,Gene 32,1
120.32977999435685,503.9894312057335,Gene 32,1
120.67668743414264,501.9915563174453,Gene 32,1
120.76488161981045,498.0627379872752,Gene 32,1
120.30501950136238,501.8857696984573,Gene 32,1
118.02568424806518,504.68403767085096,Gene 33,1
120.19655869793169,496.00875475142186,Gene 36,1
118.72891920483171,499.534902832468,Gene 37,1
117.85004936762262,497.9574378297634,Gene 37,1
118.28930151047263,501.21430305151017,Gene 37,1
120.18388505698272,496.4354487868886,Gene 38,1
123.98445189697242,517.5192125305387,Gene 4,2
123.87318786425627,506.11081851671315,Gene 5,2
124.23654532875672,512.6280699355113,Gene 19,2
123.66532158848061,515.3816926564833,Gene 22,2
123.72946104714818,508.1659129916375,Gene 26,2
124.54236040013446,501.5308881680552,Gene 26,2
